Food	Cal	CalFat	Fat	SatFat	Chol	Sodium	Carbo	Protein	VitA	VitC	Calcium	Iron
Premium_Grilled_Chicken_Club_Sandwich 8.3_oz_(235_g)      	510	180	20	7	105	1250	44	40	8	20	30	20
Premium_Grilled_Chicken_Ranch_BLT_Sandwich 7.5_oz_(214_g) 	440	120	14	4	90	1210	43	36	4	20	15	20
Premium_McWrap_Chicken_&_Bacon_(Crispy) 9.5_oz_(269_g)    	620	280	31	9	75	1490	54	32	10	20	15	20
Premium_McWrap_Chicken_&_Bacon_(Grilled) 9_oz_(255_g)     	460	160	18	7	95	1330	40	35	10	20	15	20
Premium_McWrap_Chicken_&_Ranch_(Crispy) 9.9_oz_(280_g)    	580	260	29	8	60	1290	55	26	10	10	15	20
Premium_McWrap_Chicken_&_Ranch_(Grilled) 9.4_oz_(266_g)   	420	140	16	6	80	1130	41	30	10	15	15	20
Premium_McWrap_Chicken_Sweet_Chili_(Crispy) 8.4_oz_(239_g)	520	200	22	4	45	1190	57	23	8	4	8	20
Premium_McWrap_Chicken_Sweet_Chili_(Grilled) 8_oz_(226_g) 	360	80	9	2	65	1030	43	26	8	6	8	20
Premium_McWrap_Southwest_Chicken_(Crispy) 10.2_oz_(289_g) 	670	290	33	8	60	1450	67	27	15	15	20	20
Premium_McWrap_Southwest_Chicken_(Grilled) 9.7_oz_(275_g) 	510	180	20	6	80	1280	53	31	15	15	20	20
Premium_Southwest_Salad_(without_chicken) 8.1_oz_(230_g)  	140	40	4	2	10	150	20	6	160	25	15	10
Premium_Southwest_Salad_with_Crispy_Chicken 12.3_oz_(350_g)	450	190	21	4	50	820	42	23	160	30	15	15
Premium_Southwest_Salad_with_Grilled_Chicken 11.8_oz_(335_g)	290	70	8	2	70	650	28	27	160	35	15	15
Quarter_Pounder_Bacon_&_Cheese+ 8_oz_(227_g)              	600	260	29	13	105	1440	48	37	6	15	25	30
Quarter_Pounder_Bacon_Habanero_Ranch+ 8.3_oz_(235_g)      	610	280	31	13	105	1180	46	37	8	20	25	30
Quarter_Pounder_Deluxe+ 8.6_oz_(244_g)                    	540	250	27	11	85	960	45	29	10	8	25	30
Quarter_Pounder_with_Cheese+ 7.1_oz_(202_g)               	520	240	26	12	95	1100	41	30	10	2	30	25
Ranch_Snack_Wrap_(Crispy) 4.4_oz_(125_g)                  	350	170	18	5	40	790	32	15	2	0	10	10
Ranch_Snack_Wrap_(Grilled) 4.2_oz_(118_g)                 	270	110	12	4	45	700	25	16	2	2	10	10
SPLENDA_No_Calorie_Sweetener 1_pkg_(1.0_g)                	0	0	0	0	0	0	1	0	0	0	0	0
STRAWBERRY_&_CREME_PIE 3_oz_(86_g)                        	310	150	17	9	10	180	36	4	6	6	4	6
Salt_Packet 1_pkg_(0.7_g)                                 	0	0	0	0	0	270	0	0	0	0	0	0
Sausage,_Egg_&_Cheese_McGriddles 7.1_oz_(201_g)           	550	280	31	12	265	1320	48	20	10	0	20	15
Sausage,_Egg_&_Cheese_McGriddles_with_Egg_Whites 7.2_oz_(205_g)	500	230	26	10	50	1320	46	21	2	0	20	10
Sausage_Biscuit_(Large_Size_Biscuit) 4.6_oz_(131_g)       	480	280	31	13	30	1190	39	11	4	0	8	15
Sausage_Biscuit_(Regular_Size_Biscuit) 4.1_oz_(117_g)     	430	240	27	12	30	1080	34	11	0	0	6	15
Sausage_Biscuit_with_Egg_(Large_Size_Biscuit) 6.2_oz_(177_g)	570	330	37	15	250	1280	42	18	10	0	10	20
Sausage_Biscuit_with_Egg_(Regular_Size_Biscuit) 5.7_oz_(163_g)	510	290	33	14	250	1170	36	18	6	0	10	20
Sausage_Biscuit_with_Egg_Whites_(Large_Size_Biscuit) 6.4_oz_(181_g)	520	280	32	13	35	1290	40	18	4	0	8	15
Sausage_Biscuit_with_Egg_Whites_(Regular_Size_Biscuit) 5.9_oz_(167_g)	460	250	27	12	35	1180	34	18	0	0	8	15
Sausage_Burrito 3.9_oz_(111_g)                            	300	150	16	7	115	790	26	12	10	2	15	15
Sausage_McGriddles 5_oz_(141_g)                           	420	200	22	8	35	1030	44	11	0	0	8	10
Sausage_McMuffin 3.9_oz_(110_g)                           	360	200	22	8	45	780	29	14	6	0	20	10
Sausage_McMuffin_with_Egg 5.6_oz_(160_g)                  	440	240	27	10	285	850	30	21	10	0	30	15
Sausage_McMuffin_with_Egg_Whites 5.6_oz_(159_g)           	390	200	22	8	50	870	30	21	4	0	25	10
Side_Salad 3.1_oz_(87_g)                                  	20	0	0	0	0	10	4	1	45	25	2	4
Small_French_Fries 2.5_oz_(71_g)                          	230	100	11	1	0	160	29	3	0	8	2	4
Snack_Size_Holiday_Mint_McFlurry 6.9_oz_(196_g)           	380	130	14	10	30	110	56	8	10	0	30	0
Snack_Size_McFlurry_with_M&M'S_Candies 7.3_oz_(207_g)     	430	140	15	10	35	120	64	9	10	0	30	4
Snack_Size_McFlurry_with_OREO_Cookies 6.7_oz_(190_g)      	340	100	11	6	30	190	53	8	10	0	25	6
Snack_Size_McFlurry_with_Reese's_Peanut_Butter_Cup_ 7.1_oz_(202_g)	410	150	16	8	30	200	57	10	10	0	30	4
Snack_Size_McFlurry_with_Rolo 8.4_oz_(238_g)              	510	140	16	10	40	190	84	10	10	0	35	2
Southern_Style_Chicken_Biscuit_(Large_Size_Biscuit) 5.5_oz_(157_g)	470	220	24	9	30	1290	46	17	4	2	8	15
Southern_Style_Chicken_Biscuit_(Regular_Size_Biscuit) 5_oz_(143_g)	410	180	20	8	30	1180	41	17	0	2	6	15
Southern_Style_Crispy_Chicken_Sandwich 5.6_oz_(159_g)     	420	170	19	3	45	900	43	21	2	2	15	15
Spicy_Buffalo_Sauce 0.8_oz_(22_g)                         	35	30	3	0	0	540	1	0	6	0	0	0
Spicy_Chicken_McBites_Shareable_Size 10_oz_(284_g)        	910	500	55	10	120	1990	61	46	15	4	10	10
Spicy_Chicken_McBites_Snack_Size 3_oz_(85_g)              	270	150	17	3	35	600	18	14	4	0	2	2
Sprite_(Child) 12_fl_oz_cup                               	100	0	0	0	0	25	27	0	0	0	0	0
Sprite_(Large) 30_fl_oz_cup                               	280	0	0	0	0	60	74	0	0	0	0	0
Sprite_(Medium) 21_fl_oz_cup                              	200	0	0	0	0	45	54	0	0	0	0	0
Sprite_(Small) 16_fl_oz_cup                               	140	0	0	0	0	30	37	0	0	0	0	0
Steak,_Egg_&_Cheese_Bagel 8.6_oz_(243_g)                  	680	320	35	13	300	1520	57	33	20	4	25	25
Steak_&_Egg_Biscuit_(Regular_Biscuit) 7.1_oz_(201_g)      	540	290	32	16	280	1470	38	25	10	2	20	25
Steak_&_Egg_McMuffin 6.5_oz_(184_g)                       	420	200	23	9	300	950	31	26	10	2	30	20
Strawberry_Banana_Smoothie_(Large) 22_fl_oz_cup           	330	10	1	0	5	80	74	5	0	45	10	4
Strawberry_Banana_Smoothie_(Medium) 16_fl_oz_cup          	250	5	1	0	5	60	58	4	0	35	8	4
Strawberry_Banana_Smoothie_(Small) 12_fl_oz_cup           	210	5	0	0	5	50	47	3	0	30	8	2
Strawberry_McCafe_Shake_(12_fl_oz_cup) 12_fl_oz           	550	150	16	10	60	160	90	12	20	0	40	0
Strawberry_McCafe_Shake_(16_fl_oz_cup) 16_fl_oz           	690	180	20	13	75	210	114	15	25	0	50	0
Strawberry_McCafe_Shake_(22_fl_oz_cup) 22_fl_oz           	850	210	24	15	90	260	140	18	30	0	70	0
Strawberry_Preserves 0.5_oz_(14_g)                        	35	0	0	0	0	0	9	0	0	4	0	0
Strawberry_Sundae 6.3_oz_(178_g)                          	280	60	6	4	25	85	49	6	8	4	20	0
Sugar_Packet 1_pkg_(4.0_g)                                	15	0	0	0	0	0	4	0	0	0	0	0
Sweet_'N_Sour_Sauce 1_pkg_(28_g)                          	50	0	0	0	0	150	12	0	2	0	0	0
Sweet_Tea_(Child) 12_fl_oz_cup                            	110	0	0	0	0	5	27	0	0	0	0	0
Sweet_Tea_(Large) 30_fl_oz_cup                            	220	0	0	0	0	10	54	1	0	0	0	0
Sweet_Tea_(Medium) 21_fl_oz_cup                           	180	0	0	0	0	10	45	1	0	0	0	0
Sweet_Tea_(Small) 16_fl_oz_cup                            	150	0	0	0	0	10	36	1	0	0	0	0
Tangy_Barbeque_Sauce 1_pkg_(28_g)                         	50	0	0	0	0	260	12	0	2	0	0	0
Tartar_Sauce_Cup 1_oz_(28_g)                              	140	130	15	2	10	150	0	0	0	0	2	2
Vanilla_McCafe_Shake_(12_fl_oz_cup) 12_fl_oz              	530	140	15	10	60	160	86	11	20	0	40	0
Vanilla_McCafe_Shake_(16_fl_oz_cup) 16_fl_oz              	660	170	19	12	75	200	109	14	25	0	50	0
Vanilla_McCafe_Shake_(22_fl_oz_cup) 22_fl_oz              	820	210	23	15	90	260	135	18	30	0	60	0
Vanilla_Reduced_Fat_Ice_Cream_Cone 3.7_oz_(105_g)         	170	40	4	3	15	70	27	5	6	0	15	2
Whipped_Margarine_(1_pat) 1_pkg_(6_g)                     	40	40	4	1	0	55	0	0	4	0	0	0
